Taxa	MetaCyc_complete_name	Representative_taxa	NCBI_IDs	Taxa_range	NCBI_IDs	MetaCycID_2	name	pathClass	Class	Category
ARO-PWY	ARO.PWY..chorismate.biosynthesis.I	Bacillus subtilis,Escherichia coli,Haemophilus influenzae,Petunia x hybrida,Saccharomyces cerevisiae,Salmonella enterica,Toxoplasma gondii,Arabidopsis thaliana,	1423,511145,71421,4102,4932,90371,5811,	Euglenozoa,Chlorophyta,Rhodophyta,Nephridiophagidae,Basidiomycota,Bacillariophyta,Oomycetes,Ascomycota,Apicomplexa,Viridiplantae,Bacteria,	33682,3041,2763,287987,5204,2836,4762,4890,5794,33090,2,	ARO-PWY	chorismate biosynthesis I	Chorismate-Biosynthesis,Aromatic Compounds Biosynthesis,Biosynthesis	Aromatic Compounds Biosynthesis	Biosynthesis
ASPASN-PWY	ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	Escherichia coli,	511145,	Bacteria,	2,	ASPASN-PWY	superpathway of L aspartate and L asparagine biosynthesis	Amino Acids Biosynthesis,Biosynthesis,Pathways	Amino Acids Biosynthesis	Biosynthesis
AST-PWY	AST.PWY..L.arginine.degradation.II..AST.pathway.	Salmonella enterica,Vogesella indigofera,Pseudomonas putida,Pseudomonas mendocina,Pseudomonas fluorescens,Pseudomonas chlororaphis,Pseudomonas aeruginosa,Oceanimonas doudoroffii,[Enterobacter] aerogenes,Escherichia coli,Burkholderia cepacia,Aeromonas caviae,	90371,45465,303,300,294,333,287,84158,548,511145,292,648,	Proteobacteria,	1224,	AST-PWY	L arginine degradation II AST pathway	ARGININE-DEG,Proteinogenic-Amino-Acids-Degradation,Amino Acids Degradation,Degradation/Utilization/Assimilation	Amino Acids Degradation	Degradation
BIOTIN-BIOSYNTHESIS-PWY	BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I	Escherichia coli,Francisella tularensis,Haemophilus influenzae,Helicobacter pylori,Prochlorococcus marinus,	511145,401614,71421,85962,93059,	Bacteria,	2,	BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	BIOTIN-SYN,Vitamin-Biosynthesis,Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis,Biosynthesis	Vitamin-Biosynthesis	Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY	BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis	Escherichia coli,	511145,	Eukaryota,Bacteria,	2759,2,	BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	Amino Acids Biosynthesis,Biosynthesis,Pathways	Amino Acids Biosynthesis	Biosynthesis
CALVIN-PWY	CALVIN.PWY..Calvin.Benson.Bassham.cycle	Chlamydomonas reinhardtii,Nicotiana tabacum,Synechococcus elongatus,Synechocystis sp. PCC 6803,Arabidopsis thaliana,Arabidopsis thaliana,	3055,4097,1140,1148,	Cyanobacteria,Dictyochophyceae,Glaucocystophyceae,Chlorarachniophyceae,Raphidophyceae,Eustigmatophyceae,Dinophyceae,Chromerida,Bacillariophyta,Cryptophyta,Haptophyceae,Xanthophyceae,Chlorophyta,Euglenozoa,Rhodophyta,Phaeophyceae,Chrysophyceae,Bacteria,Viridiplantae,	1117,39119,38254,29197,38410,5747,2864,877183,2836,3027,2830,2833,3041,33682,2763,2870,2825,2,33090,	CALVIN-PWY	Calvin Benson Bassham cycle	Autotrophic-CO2-Fixation,CO2-Fixation,C1 Compounds Utilization and Assimilation,Degradation/Utilization/Assimilation	C1 Compounds Utilization and Assimilation	Degradation
CATECHOL-ORTHO-CLEAVAGE-PWY	CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate	Ralstonia eutropha,Pseudomonas reinekei,Pseudomonas,Pseudomonas putida,	264198,395598,286,303,	Proteobacteria,Actinobacteria <phylum>,	1224,201174,	CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to andbeta ketoadipate	Catechol-Degradation,Aromatic Compounds Degradation,Degradation	Aromatic Compounds Degradation	Degradation
CENTFERM-PWY	CENTFERM.PWY..pyruvate.fermentation.to.butanoate	Clostridium acetobutylicum,Butyrivibrio fibrisolvens,Clostridium acetobutylicum,Clostridium beijerinckii,Clostridium pasteurianum,	272562,831,1488,1520,1501,	Proteobacteria,Firmicutes,	1224,1239,	CENTFERM-PWY	pyruvate fermentation to butanoate	Pyruvate-Degradation,Fermentation,Energy-Metabolism,Pathways	Fermentation	Energy-Metabolism
CHLOROPHYLL-SYN	CHLOROPHYLL.SYN..chlorophyllide.a.biosynthesis.I..aerobic..light.dependent.	Chlamydomonas reinhardtii,Chlorophyta,Ipomoea nil,Nicotiana tabacum,Rubrivivax gelatinosus,Synechocystis sp. PCC 6803,Triticum aestivum,Arabidopsis thaliana,	3055,3041,35883,4097,28068,1148,4565,	Rhodophyta,Euglenozoa,Bacteria,Viridiplantae,	2763,33682,2,33090,	CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	Chlorophyllide-a-Biosynthesis,Chlorophyll-Biosynthesis,Porphyrin Compounds Biosynthesis,Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis,Biosynthesis	Porphyrin Compounds Biosynthesis	Biosynthesis
CITRULBIO-PWY	CITRULBIO.PWY..L.citrulline.biosynthesis	Bos taurus,Homo sapiens,Mus musculus,Rattus norvegicus,	9913,9606,10090,10116,	Mammalia,	40674,	CITRULBIO-PWY	L citrulline biosynthesis	Citrulline-Biosynthesis,Other-Amino Acids Biosynthesis,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
COA-PWY	COA.PWY..coenzyme.A.biosynthesis.I	Escherichia coli,Saccharomyces cerevisiae,Arabidopsis thaliana,	511145,4932,	Eukaryota,Archaea,Bacteria,	2759,2157,2,	COA-PWY	coenzyme A biosynthesis I	CoA-Biosynthesis,Cofactor-Biosynthesis,Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
COA-PWY-1	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	Homo sapiens,	9606,	Mammalia,	40674,	COA-PWY-1	coenzyme A biosynthesis II (mammalian)	CoA-Biosynthesis,Cofactor-Biosynthesis,Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
COBALSYN-PWY	COBALSYN.PWY..adenosylcobalamin.salvage.from.cobinamide.I	Escherichia coli,Salmonella enterica,	511145,90371,	Proteobacteria,	1224,	COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	B12-Salvage-From-Cobinamide,Adenosylcobalamin-Biosynthesis,Cobalamin-Biosynthesis,Vitamin-Biosynthesis,Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis,Biosynthesis	Vitamin-Biosynthesis	Biosynthesis
CODH-PWY	CODH.PWY..reductive.acetyl.coenzyme.A.pathway	Acetitomaculum ruminis,Acetobacterium carbinolicum,Acetobacterium woodii,Blautia producta,Clostridium formicaceticum,Eubacterium limosum,Moorella thermoacetica,Moorella thermoautotrophica,Sporomusa malonica,Sporomusa termitida,Syntrophococcus sucromutans,[Butyribacterium] methylotrophicum,	2382,52690,33952,33035,1497,1736,1525,1560,112901,2377,84037,1487,	Archaea,Bacteria,	2157,2,	CODH-PWY	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	Autotrophic-CO2-Fixation,CO2-Fixation,C1 Compounds Utilization and Assimilation,Degradation/Utilization/Assimilation	C1 Compounds Utilization and Assimilation	Degradation
COLANSYN-PWY	COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis	Escherichia coli,	511145,	Proteobacteria,	1224,	COLANSYN-PWY	colanic acid building blocks biosynthesis	Carbohydrates Biosynthesis,Biosynthesis,Pathways	Carbohydrates Biosynthesis	Biosynthesis
COMPLETE-ARO-PWY	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	Escherichia coli,	511145,	Bacteria,	2,	COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	Amino Acids Biosynthesis,Biosynthesis,Pathways	Amino Acids Biosynthesis	Biosynthesis
CRNFORCAT-PWY	CRNFORCAT.PWY..creatinine.degradation.I	Achromobacter denitrificans,Arthrobacter sp. TE1826,Pseudomonas putida,Pseudomonas sp. Ps7,Tissierella creatinini,Tissierella creatinophila,Pseudomonas putida,	32002,68999,303,243975,43143,79681,	Bacteria,	2,	CRNFORCAT-PWY	creatinine degradation I	Creatinine-Degradation,AMINE-DEG,Degradation	AMINE-DEG	Degradation
DAPLYSINESYN-PWY	DAPLYSINESYN.PWY..L.lysine.biosynthesis.I	Corynebacterium glutamicum,Arthrobacter globiformis,Azotobacter vinelandii,Bordetella pertussis,Corynebacterium glutamicum,Escherichia coli,Haemophilus influenzae,Haemophilus influenzae,Helicobacter pylori,Mycobacterium tuberculosis,Mycobacterium tuberculosis,Rhodospirillum rubrum,	196627,1665,354,520,1718,511145,727,71421,210,1773,83332,1085,	Bacteria,	2,	DAPLYSINESYN-PWY	L lysine biosynthesis I	LYSINE-SYN,IND-AMINO-ACID-SYN,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
DENITRIFICATION-PWY	DENITRIFICATION.PWY..nitrate.reduction.I..denitrification.	Fusarium oxysporum,Haloarcula marismortui,Paracoccus denitrificans,Pseudomonas aeruginosa,Pseudomonas fluorescens,Pseudomonas stutzeri,	5507,2238,266,287,294,316,	Fungi,Archaea,Bacteria,	4751,2157,2,	DENITRIFICATION-PWY	nitrate reduction I (denitrification)	ANAEROBIC-RESPIRATION,Respiration,Energy-Metabolism,Pathways	Respiration	Energy-Metabolism
DENOVOPURINE2-PWY	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	Escherichia coli,Salmonella enterica,	511145,90371,	Bacteria,	2,	DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	Purine-Nucleotide-De-Novo-Biosynthesis,PUR-NUC-SYN,Nucleosides and Nucleotides Biosynthesis,Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Biosynthesis
DHGLUCONATE-PYR-CAT-PWY	DHGLUCONATE.PYR.CAT.PWY..glucose.degradation..oxidative.	Gluconobacter oxydans,Klebsiella pneumoniae,Pantoea cypripedii,Pseudomonas aeruginosa,Pseudomonas fluorescens,Pseudomonas putida,Serratia marcescens,	442,573,55209,287,294,303,615,	Bacteria,	2,	DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	SUGAR-ACIDS-DEG,Carboxylates Degradation/Sugar Derivatives Degradation,Secondary Metabolites Degradation,Degradation/Utilization/Assimilation	Sugar Derivatives Degradation	Degradation
DTDPRHAMSYN-PWY	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	Escherichia coli,Haloferax volcanii,Saccharopolyspora spinosa,	511145,2246,60894,	Archaea,Bacteria,	2157,2,	DTDPRHAMSYN-PWY	dTDP L rhamnose biosynthesis I	dTDP-L-Rhamnose-Biosynthesis,dTDP-Sugar-Biosynthesis,Sugar Nucleotides Biosynthesis,Sugars Biosynthesis,Carbohydrates Biosynthesis,Biosynthesis	Carbohydrates Biosynthesis	Biosynthesis
ECASYN-PWY	ECASYN.PWY..enterobacterial.common.antigen.biosynthesis	Escherichia coli,	511145,	Proteobacteria,	1224,	ECASYN-PWY	enterobacterial common antigen biosynthesis	Cell Structures Biosynthesis,Biosynthesis,Pathways	Cell Structures Biosynthesis	Biosynthesis
ENTBACSYN-PWY	ENTBACSYN.PWY..enterobactin.biosynthesis	Escherichia coli,	511145,	Proteobacteria,	1224,	ENTBACSYN-PWY	enterobactin biosynthesis	Siderophores-Biosynthesis,Biosynthesis,Pathways	Siderophore Biosynthesis	Biosynthesis
ERGOSTEROL-SYN-PWY	ERGOSTEROL.SYN.PWY..superpathway.of.ergosterol.biosynthesis.I	Saccharomyces cerevisiae,	4932,	Fungi,	4751,	ERGOSTEROL-SYN-PWY	ergosterol superpathwas	Fatty-acid-biosynthesis,Lipid-Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Sterol Biosynthesis	Biosynthesis
FAO-PWY	FAO.PWY..fatty.acid..beta..oxidation.I	Escherichia coli,Homo sapiens,	511145,9606,	Entamoebidae,Metazoa,Bacteria,	33084,33208,2,	FAO-PWY	fatty acid andbeta oxidation I	Fatty-Acid-Degradation,Fatty-Acid-and-Lipid-Degradation,Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation
FASYN-ELONG-PWY	FASYN.ELONG.PWY..fatty.acid.elongation....saturated	Bacillus subtilis,Brassica napus,Escherichia coli,Spinacia oleracea,Streptococcus pneumoniae,Vibrio albensis,Arabidopsis thaliana,	224308,3708,511145,3562,1313,140100,	Viridiplantae,Bacteria,	33090,2,	FASYN-ELONG-PWY	fatty acid elongation    saturated	Fatty-acid-biosynthesis,Lipid-Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
FASYN-INITIAL-PWY	FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli.	Escherichia coli,	511145,	Entamoebidae,Metazoa,Fungi,Bacteria,	33084,33208,4751,2,	FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	Fatty-acid-biosynthesis,Lipid-Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
FERMENTATION-PWY	FERMENTATION.PWY..mixed.acid.fermentation	Escherichia coli,	511145,	Fungi,Bacteria,	4751,2,	FERMENTATION-PWY	mixed acid fermentation	Fermentation,Energy-Metabolism,Pathways	Fermentation	Energy-Metabolism
FOLSYN-PWY	FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage	Escherichia coli,	511145,	Fungi,Bacteria,	4751,2,	FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	Folate-Biosynthesis,Vitamin-Biosynthesis,Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis,Biosynthesis	Vitamin-Biosynthesis	Biosynthesis
FUC-RHAMCAT-PWY	FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation	Escherichia coli,	511145,	Bacteria,	2,	FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	Super-Pathways,Pathways	Sugar Derivatives Degradation	Degradation
FUCCAT-PWY	FUCCAT.PWY..fucose.degradation	Escherichia coli,	511145,	Bacteria,	2,	FUCCAT-PWY	fucose degradation	Sugars-And-Polysaccharides-Degradation,Carbohydrates Degradation,Degradation	Carbohydrates Degradation	Degradation
GALACT-GLUCUROCAT-PWY	GALACT.GLUCUROCAT.PWY..superpathway.of.hexuronide.and.hexuronate.degradation	Escherichia coli,	511145,	Bacteria,	2,	GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	Super-Pathways,Pathways	Sugar Derivatives Degradation	Degradation
GALACTARDEG-PWY	GALACTARDEG.PWY..D.galactarate.degradation.I	Escherichia coli,	511145,	Bacteria,	2,	GALACTARDEG-PWY	D galactarate degradation I	D-Galactarate-Degradation,SUGAR-ACIDS-DEG,Carboxylates Degradation/Sugar Derivatives Degradation,Secondary Metabolites Degradation,Degradation/Utilization/Assimilation	Sugar Derivatives Degradation	Degradation
GALACTUROCAT-PWY	GALACTUROCAT.PWY..D.galacturonate.degradation.I	Pectobacterium carotovorum,Dickeya chrysanthemi,Escherichia coli,	554,556,511145,	Bacteria,	2,	GALACTUROCAT-PWY	D galacturonate degradation I	D-Galacturonate-Degradation,SUGAR-ACIDS-DEG,Carboxylates Degradation/Sugar Derivatives Degradation,Secondary Metabolites Degradation,Degradation/Utilization/Assimilation	Sugar Derivatives Degradation	Degradation
GALLATE-DEGRADATION-I-PWY	GALLATE.DEGRADATION.I.PWY..gallate.degradation.II	Pseudomonas putida,Pseudomonas putida,	303,	Bacteria,	2,	GALLATE-DEGRADATION-I-PWY	gallate degradation II	GALLATE-DEG,Aromatic Compounds Degradation,Degradation	Aromatic Compounds Degradation	Degradation
GALLATE-DEGRADATION-II-PWY	GALLATE.DEGRADATION.II.PWY..gallate.degradation.I	Comamonas testosteroni,Pseudomonas putida,Sphingomonas sp. SYK6,	285,160488,502559,	Bacteria,	2,	GALLATE-DEGRADATION-II-PWY	gallate degradation I	GALLATE-DEG,Aromatic Compounds Degradation,Degradation	Aromatic Compounds Degradation	Degradation
GLCMANNANAUT-PWY	GLCMANNANAUT.PWY..superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation	Clostridium perfringens,Clostridium perfringens,Escherichia coli,Clostridium perfringens,	1502,195102,511145,	Bacteria,	2,	GLCMANNANAUT-PWY	superpathway of N acetylglucosamine N acetylmannosamine and N acetylneuraminate degradation	AMINE-DEG,Degradation,Pathways	AMINE-DEG	Degradation
GLUCARDEG-PWY	GLUCARDEG.PWY..D.glucarate.degradation.I	Escherichia coli,	511145,	Bacteria,	2,	GLUCARDEG-PWY	D glucarate degradation I	D-Glucarate-Degradation,SUGAR-ACIDS-DEG,Carboxylates Degradation/Sugar Derivatives Degradation,Secondary Metabolites Degradation,Degradation/Utilization/Assimilation	Sugar Derivatives Degradation	Degradation
GLUCARGALACTSUPER-PWY	GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	Escherichia coli,	511145,	Bacteria,	2,	GLUCARGALACTSUPER-PWY	superpathway of D glucarate and D galactarate degradation	Super-Pathways,Pathways	Sugar Derivatives Degradation	Degradation
GLUCONEO-PWY	GLUCONEO.PWY..gluconeogenesis.I	Brassica napus,Cucumis sativus,Escherichia coli,Glycine max,Hordeum vulgare,Nicotiana tabacum,Oryza sativa,Pisum sativum,Ricinus communis,Solanum lycopersicum,Solanum tuberosum,Vicia faba,Zea mays,Arabidopsis thaliana,	3708,3659,511145,3847,4513,4097,4530,3888,3988,4081,4113,3906,4577,	Fungi,Viridiplantae,Archaea,Bacteria,	4751,33090,2157,2,	GLUCONEO-PWY	gluconeogenesis I	Gluconeogenesis,CARBO-BIOSYNTHESIS,Carbohydrates Biosynthesis,Biosynthesis	Carbohydrates Biosynthesis	Biosynthesis
GLUCOSE1PMETAB-PWY	GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation	Escherichia coli,	511145,	Archaea,Eukaryota,Bacteria,	2157,2759,2,	GLUCOSE1PMETAB-PWY	glucose and glucose 1 phosphate degradation	Sugars-And-Polysaccharides-Degradation,Carbohydrates Degradation,Degradation	Carbohydrates Degradation	Degradation
GLUCUROCAT-PWY	GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronide.and.D.glucuronate.degradation	Aquifex aeolicus,Bacillus subtilis,Clostridium acetobutylicum,Deinococcus radiodurans,Escherichia coli,Haemophilus influenzae,Pseudomonas aeruginosa,Thermotoga maritima,	63363,1423,1488,1299,511145,727,287,2336,	Bacteria,	2,	GLUCUROCAT-PWY	superpathway of andbeta D glucuronide and D glucuronate degradation	D-Glucuronate-Degradation,SUGAR-ACIDS-DEG,Carboxylates Degradation/Sugar Derivatives Degradation,Secondary Metabolites Degradation,Degradation/Utilization/Assimilation	Sugar Derivatives Degradation	Degradation
GLUDEG-I-PWY	GLUDEG.I.PWY..GABA.shunt	Homo sapiens,Mammalia,	9606,40674,	Metazoa,	33208,	GLUDEG-I-PWY	GABA shunt	GLUTAMATE-DEG,Proteinogenic-Amino-Acids-Degradation,Amino Acids Degradation,Degradation/Utilization/Assimilation	Amino Acids Degradation	Degradation
GLUDEG-II-PWY	GLUDEG.II.PWY..L.glutamate.degradation.VII..to.butanoate.	Citrobacter amalonaticus,Citrobacter freundii,Clostridium acetobutylicum,Clostridium cochlearium,Clostridium kluyveri,Hathewaya limosa,Clostridium malenominatum,Clostridium saccharobutylicum,Clostridium tetani,Clostridium tetanomorphum,Morganella morganii,	35703,546,1488,1494,1534,1536,1539,169679,1513,1553,582,	Firmicutes,Proteobacteria,	1239,1224,	GLUDEG-II-PWY	L glutamate degradation VII to butanoate	Fermentation,Energy-Metabolism,Pathways	Fermentation	Energy-Metabolism
GLUTORN-PWY	GLUTORN.PWY..L.ornithine.biosynthesis	Escherichia coli,Myxococcus xanthus,Salmonella enterica,Sulfolobus solfataricus,Vibrionaceae,	511145,34,90371,2287,641,	Archaea,Bacteria,	2157,2,	GLUTORN-PWY	L-ornithine biosynthesis I	L-Ornithine-Biosynthesis,Other-Amino Acids Biosynthesis,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
